Object,Locations
pear,"{1: ('bathroom', 1.0), 2: ('utility room', 1.0), 3: ('closet', 1.0), 4: ('bedroom', 1.0), 5: ('childs room', 1.0), 6: ('corridor', 1.0), 7: ('playroom', 1.0), 8: ('storage room', 1.0), 9: ('lobby', 1.0), 10: ('dining room', 1.0), 11: ('home office', 1.0), 12: ('garage', 1.0), 13: ('pantry room', 1.0), 14: ('kitchen', 1.0), 15: ('exercise room', 1.0), 16: ('living room', 1.0), 17: ('television room', 1.0)}"
peg and hammer toy,"{1: ('utility room', 1.0), 2: ('bedroom', 1.0), 3: ('corridor', 1.0), 4: ('garage', 1.0), 5: ('home office', 1.0), 6: ('dining room', 1.0), 7: ('playroom', 1.0), 8: ('kitchen', 1.0), 9: ('television room', 1.0), 10: ('lobby', 1.0), 11: ('exercise room', 1.0), 12: ('bathroom', 1.0), 13: ('living room', 1.0), 14: ('childs room', 1.0), 15: ('pantry room', 1.0), 16: ('closet', 1.0), 17: ('storage room', 1.0)}"
pen,"{1: ('kitchen', 1.0), 2: ('living room', 1.0), 3: ('bedroom', 1.0)}"
pencil,"{1: ('kitchen', 1.0), 2: ('living room', 1.0), 3: ('bedroom', 1.0)}"
pencil case,"{1: ('closet', 1.0), 2: ('lobby', 1.0), 3: ('pantry room', 1.0), 4: ('childs room', 1.0), 5: ('exercise room', 1.0), 6: ('corridor', 1.0), 7: ('bathroom', 1.0), 8: ('utility room', 1.0), 9: ('bedroom', 1.0), 10: ('playroom', 1.0), 11: ('storage room', 1.0), 12: ('kitchen', 1.0), 13: ('dining room', 1.0), 14: ('living room', 1.0), 15: ('home office', 1.0), 16: ('television room', 1.0), 17: ('garage', 1.0)}"
peppermint,"{1: ('home office', 1.0), 2: ('utility room', 1.0), 3: ('kitchen', 1.0), 4: ('lobby', 1.0), 5: ('television room', 1.0), 6: ('dining room', 1.0), 7: ('storage room', 1.0), 8: ('childs room', 1.0), 9: ('closet', 1.0), 10: ('exercise room', 1.0), 11: ('corridor', 1.0), 12: ('bedroom', 1.0), 13: ('pantry room', 1.0), 14: ('playroom', 1.0), 15: ('living room', 1.0), 16: ('bathroom', 1.0), 17: ('garage', 1.0)}"
peppershaker,"{1: ('kitchen', 1.0)}"
pepsi can pack,"{1: ('playroom', 1.0), 2: ('exercise room', 1.0), 3: ('pantry room', 1.0), 4: ('corridor', 1.0), 5: ('lobby', 1.0), 6: ('kitchen', 1.0), 7: ('bathroom', 1.0), 8: ('storage room', 1.0), 9: ('utility room', 1.0), 10: ('television room', 1.0), 11: ('dining room', 1.0), 12: ('childs room', 1.0), 13: ('bedroom', 1.0), 14: ('closet', 1.0), 15: ('garage', 1.0), 16: ('home office', 1.0), 17: ('living room', 1.0)}"
pet food supplement,"{1: ('corridor', 1.0), 2: ('childs room', 1.0), 3: ('home office', 1.0), 4: ('storage room', 1.0), 5: ('television room', 1.0), 6: ('exercise room', 1.0), 7: ('pantry room', 1.0), 8: ('lobby', 1.0), 9: ('dining room', 1.0), 10: ('kitchen', 1.0), 11: ('bedroom', 1.0), 12: ('utility room', 1.0), 13: ('closet', 1.0), 14: ('playroom', 1.0), 15: ('living room', 1.0), 16: ('bathroom', 1.0), 17: ('garage', 1.0)}"
phillips screwdriver,"{1: ('dining room', 1.0), 2: ('kitchen', 1.0), 3: ('closet', 1.0), 4: ('bedroom', 1.0), 5: ('utility room', 1.0), 6: ('exercise room', 1.0), 7: ('bathroom', 1.0), 8: ('lobby', 1.0), 9: ('garage', 1.0), 10: ('living room', 1.0), 11: ('pantry room', 1.0), 12: ('storage room', 1.0), 13: ('home office', 1.0), 14: ('playroom', 1.0), 15: ('television room', 1.0), 16: ('childs room', 1.0), 17: ('corridor', 1.0)}"
phone armband case,"{1: ('living room', 1.0), 2: ('kitchen', 1.0), 3: ('television room', 1.0), 4: ('utility room', 1.0), 5: ('corridor', 1.0), 6: ('bedroom', 1.0), 7: ('lobby', 1.0), 8: ('exercise room', 1.0), 9: ('playroom', 1.0), 10: ('home office', 1.0), 11: ('childs room', 1.0), 12: ('closet', 1.0), 13: ('bathroom', 1.0), 14: ('pantry room', 1.0), 15: ('dining room', 1.0), 16: ('garage', 1.0), 17: ('storage room', 1.0)}"
phone stand,"{1: ('exercise room', 1.0), 2: ('bathroom', 1.0), 3: ('playroom', 1.0), 4: ('garage', 1.0), 5: ('pantry room', 1.0), 6: ('kitchen', 1.0), 7: ('television room', 1.0), 8: ('childs room', 1.0), 9: ('utility room', 1.0), 10: ('storage room', 1.0), 11: ('bedroom', 1.0), 12: ('corridor', 1.0), 13: ('dining room', 1.0), 14: ('living room', 1.0), 15: ('lobby', 1.0), 16: ('home office', 1.0), 17: ('closet', 1.0)}"
picture frame,"{1: ('living room', 1.0), 2: ('utility room', 1.0), 3: ('exercise room', 1.0), 4: ('storage room', 1.0), 5: ('bedroom', 1.0), 6: ('lobby', 1.0), 7: ('garage', 1.0), 8: ('kitchen', 1.0), 9: ('corridor', 1.0), 10: ('dining room', 1.0), 11: ('home office', 1.0), 12: ('pantry room', 1.0), 13: ('television room', 1.0), 14: ('bathroom', 1.0), 15: ('childs room', 1.0), 16: ('closet', 1.0), 17: ('playroom', 1.0)}"
pie,"{1: ('oven', 1.0)}"
pillow,"{1: ('bedroom', 2.5), 2: ('living room', 2.0), 3: ('corridor', 1.0), 4: ('childs room', 1.0), 5: ('pantry room', 1.0), 6: ('kitchen', 1.0), 7: ('garage', 1.0), 8: ('home office', 1.0), 9: ('exercise room', 1.0), 10: ('dining room', 1.0), 11: ('bathroom', 1.0), 12: ('lobby', 1.0), 13: ('playroom', 1.0), 14: ('closet', 1.0), 15: ('television room', 1.0), 16: ('utility room', 1.0), 17: ('storage room', 1.0)}"
pitcher base,"{1: ('television room', 1.0), 2: ('living room', 1.0), 3: ('garage', 1.0), 4: ('lobby', 1.0), 5: ('exercise room', 1.0), 6: ('utility room', 1.0), 7: ('bathroom', 1.0), 8: ('childs room', 1.0), 9: ('home office', 1.0), 10: ('pantry room', 1.0), 11: ('corridor', 1.0), 12: ('closet', 1.0), 13: ('bedroom', 1.0), 14: ('storage room', 1.0), 15: ('playroom', 1.0), 16: ('dining room', 1.0), 17: ('kitchen', 1.0)}"
plant,"{1: ('garage', 1.0), 2: ('childs room', 1.0), 3: ('home office', 1.0), 4: ('corridor', 1.0), 5: ('playroom', 1.0), 6: ('closet', 1.0), 7: ('dining room', 1.0), 8: ('kitchen', 1.0), 9: ('television room', 1.0), 10: ('lobby', 1.0), 11: ('pantry room', 1.0), 12: ('bathroom', 1.0), 13: ('utility room', 1.0), 14: ('storage room', 1.0), 15: ('living room', 1.0), 16: ('exercise room', 1.0), 17: ('bedroom', 1.0)}"
plant container,"{1: ('utility room', 1.0), 2: ('storage room', 1.0), 3: ('garage', 1.0), 4: ('childs room', 1.0), 5: ('pantry room', 1.0), 6: ('dining room', 1.0), 7: ('playroom', 1.0), 8: ('living room', 1.0), 9: ('exercise room', 1.0), 10: ('home office', 1.0), 11: ('bedroom', 1.0), 12: ('lobby', 1.0), 13: ('closet', 1.0), 14: ('corridor', 1.0), 15: ('kitchen', 1.0), 16: ('bathroom', 1.0), 17: ('television room', 1.0)}"
plant saucer,"{1: ('television room', 1.0), 2: ('storage room', 1.0), 3: ('garage', 1.0), 4: ('lobby', 1.0), 5: ('utility room', 1.0), 6: ('childs room', 1.0), 7: ('playroom', 1.0), 8: ('living room', 1.0), 9: ('home office', 1.0), 10: ('exercise room', 1.0), 11: ('bathroom', 1.0), 12: ('corridor', 1.0), 13: ('closet', 1.0), 14: ('dining room', 1.0), 15: ('kitchen', 1.0), 16: ('pantry room', 1.0), 17: ('bedroom', 1.0)}"
plate,"{1: ('kitchen', 2.0), 2: ('living room', 2.0), 3: ('garage', 1.0), 4: ('bathroom', 1.0), 5: ('dining room', 1.0), 6: ('television room', 1.0), 7: ('bedroom', 1.0), 8: ('playroom', 1.0), 9: ('closet', 1.0), 10: ('lobby', 1.0), 11: ('storage room', 1.0), 12: ('corridor', 1.0), 13: ('utility room', 1.0), 14: ('home office', 1.0), 15: ('pantry room', 1.0), 16: ('childs room', 1.0), 17: ('exercise room', 1.0)}"
plum,"{1: ('living room', 1.0), 2: ('dining room', 1.0), 3: ('bedroom', 1.0), 4: ('storage room', 1.0), 5: ('home office', 1.0), 6: ('pantry room', 1.0), 7: ('childs room', 1.0), 8: ('utility room', 1.0), 9: ('lobby', 1.0), 10: ('exercise room', 1.0), 11: ('closet', 1.0), 12: ('bathroom', 1.0), 13: ('corridor', 1.0), 14: ('television room', 1.0), 15: ('kitchen', 1.0), 16: ('garage', 1.0), 17: ('playroom', 1.0)}"
plunger,"{1: ('bathroom', 1.0)}"
portable speaker,"{1: ('television room', 1.0), 2: ('closet', 1.0), 3: ('garage', 1.0), 4: ('childs room', 1.0), 5: ('living room', 1.0), 6: ('dining room', 1.0), 7: ('playroom', 1.0), 8: ('exercise room', 1.0), 9: ('corridor', 1.0), 10: ('utility room', 1.0), 11: ('bathroom', 1.0), 12: ('pantry room', 1.0), 13: ('lobby', 1.0), 14: ('bedroom', 1.0), 15: ('storage room', 1.0), 16: ('kitchen', 1.0), 17: ('home office', 1.0)}"
poster,"{1: ('bedroom', 1.0)}"
pot,"{1: ('kitchen', 1.5)}"
potato,"{1: ('kitchen', 1.0)}"
potted meat can,"{1: ('television room', 1.0), 2: ('bedroom', 1.0), 3: ('playroom', 1.0), 4: ('childs room', 1.0), 5: ('dining room', 1.0), 6: ('corridor', 1.0), 7: ('utility room', 1.0), 8: ('lobby', 1.0), 9: ('storage room', 1.0), 10: ('kitchen', 1.0), 11: ('exercise room', 1.0), 12: ('home office', 1.0), 13: ('pantry room', 1.0), 14: ('garage', 1.0), 15: ('living room', 1.0), 16: ('closet', 1.0), 17: ('bathroom', 1.0)}"
power drill,"{1: ('pantry room', 1.0), 2: ('dining room', 1.0), 3: ('living room', 1.0), 4: ('playroom', 1.0), 5: ('lobby', 1.0), 6: ('utility room', 1.0), 7: ('television room', 1.0), 8: ('kitchen', 1.0), 9: ('exercise room', 1.0), 10: ('childs room', 1.0), 11: ('bathroom', 1.0), 12: ('corridor', 1.0), 13: ('bedroom', 1.0), 14: ('closet', 1.0), 15: ('garage', 1.0), 16: ('home office', 1.0), 17: ('storage room', 1.0)}"
pressure cooker,"{1: ('lobby', 1.0), 2: ('exercise room', 1.0), 3: ('utility room', 1.0), 4: ('closet', 1.0), 5: ('storage room', 1.0), 6: ('playroom', 1.0), 7: ('bathroom', 1.0), 8: ('pantry room', 1.0), 9: ('kitchen', 1.0), 10: ('corridor', 1.0), 11: ('childs room', 1.0), 12: ('television room', 1.0), 13: ('garage', 1.0), 14: ('dining room', 1.0), 15: ('bedroom', 1.0), 16: ('living room', 1.0), 17: ('home office', 1.0)}"
pudding box,"{1: ('utility room', 1.0), 2: ('kitchen', 1.0), 3: ('closet', 1.0), 4: ('home office', 1.0), 5: ('playroom', 1.0), 6: ('pantry room', 1.0), 7: ('exercise room', 1.0), 8: ('bathroom', 1.0), 9: ('television room', 1.0), 10: ('bedroom', 1.0), 11: ('childs room', 1.0), 12: ('lobby', 1.0), 13: ('dining room', 1.0), 14: ('garage', 1.0), 15: ('corridor', 1.0), 16: ('living room', 1.0), 17: ('storage room', 1.0)}"
puzzle game,"{1: ('utility room', 1.0), 2: ('pantry room', 1.0), 3: ('home office', 1.0), 4: ('bathroom', 1.0), 5: ('garage', 1.0), 6: ('television room', 1.0), 7: ('storage room', 1.0), 8: ('dining room', 1.0), 9: ('corridor', 1.0), 10: ('bedroom', 1.0), 11: ('closet', 1.0), 12: ('kitchen', 1.0), 13: ('living room', 1.0), 14: ('childs room', 1.0), 15: ('exercise room', 1.0), 16: ('playroom', 1.0), 17: ('lobby', 1.0)}"
racquetball,"{1: ('bedroom', 1.0), 2: ('childs room', 1.0), 3: ('exercise room', 1.0), 4: ('bathroom', 1.0), 5: ('utility room', 1.0), 6: ('living room', 1.0), 7: ('playroom', 1.0), 8: ('television room', 1.0), 9: ('storage room', 1.0), 10: ('lobby', 1.0), 11: ('kitchen', 1.0), 12: ('garage', 1.0), 13: ('home office', 1.0), 14: ('pantry room', 1.0), 15: ('closet', 1.0), 16: ('dining room', 1.0), 17: ('corridor', 1.0)}"
ramekin,"{1: ('lobby', 1.0), 2: ('closet', 1.0), 3: ('television room', 1.0), 4: ('pantry room', 1.0), 5: ('bedroom', 1.0), 6: ('exercise room', 1.0), 7: ('dining room', 1.0), 8: ('kitchen', 1.0), 9: ('storage room', 1.0), 10: ('living room', 1.0), 11: ('utility room', 1.0), 12: ('bathroom', 1.0), 13: ('playroom', 1.0), 14: ('home office', 1.0), 15: ('childs room', 1.0), 16: ('corridor', 1.0), 17: ('garage', 1.0)}"
remote control,"{1: ('pantry room', 1.0), 2: ('bathroom', 1.0), 3: ('dining room', 1.0), 4: ('childs room', 1.0), 5: ('bedroom', 1.0), 6: ('exercise room', 1.0), 7: ('home office', 1.0), 8: ('storage room', 1.0), 9: ('kitchen', 1.0), 10: ('closet', 1.0), 11: ('television room', 1.0), 12: ('garage', 1.0), 13: ('living room', 1.0), 14: ('corridor', 1.0), 15: ('playroom', 1.0), 16: ('lobby', 1.0), 17: ('utility room', 1.0)}"
remotecontrol,"{1: ('living room', 1.0), 2: ('bedroom', 1.0)}"
rmal laminator,"{1: ('bedroom', 1.0), 2: ('corridor', 1.0), 3: ('playroom', 1.0), 4: ('closet', 1.0), 5: ('kitchen', 1.0), 6: ('childs room', 1.0), 7: ('home office', 1.0), 8: ('dining room', 1.0), 9: ('storage room', 1.0), 10: ('garage', 1.0), 11: ('pantry room', 1.0), 12: ('television room', 1.0), 13: ('utility room', 1.0), 14: ('living room', 1.0), 15: ('exercise room', 1.0), 16: ('lobby', 1.0), 17: ('bathroom', 1.0)}"
roast,"{1: ('oven', 1.0)}"
roomdecor,"{1: ('living room', 1.0)}"
router,"{1: ('dining room', 1.0), 2: ('lobby', 1.0), 3: ('garage', 1.0), 4: ('exercise room', 1.0), 5: ('corridor', 1.0), 6: ('bedroom', 1.0), 7: ('pantry room', 1.0), 8: ('home office', 1.0), 9: ('kitchen', 1.0), 10: ('utility room', 1.0), 11: ('playroom', 1.0), 12: ('storage room', 1.0), 13: ('television room', 1.0), 14: ('bathroom', 1.0), 15: ('childs room', 1.0), 16: ('closet', 1.0), 17: ('living room', 1.0)}"
rubiks cube,"{1: ('living room', 1.0), 2: ('dining room', 1.0), 3: ('bedroom', 1.0), 4: ('storage room', 1.0), 5: ('home office', 1.0), 6: ('pantry room', 1.0), 7: ('childs room', 1.0), 8: ('utility room', 1.0), 9: ('lobby', 1.0), 10: ('exercise room', 1.0), 11: ('closet', 1.0), 12: ('bathroom', 1.0), 13: ('corridor', 1.0), 14: ('television room', 1.0), 15: ('kitchen', 1.0), 16: ('garage', 1.0), 17: ('playroom', 1.0)}"
safe,"{1: ('kitchen', 1.0), 2: ('living room', 1.0), 3: ('bedroom', 1.0)}"
salt shaker,"{1: ('bathroom', 1.0), 2: ('living room', 1.0), 3: ('garage', 1.0), 4: ('closet', 1.0), 5: ('playroom', 1.0), 6: ('pantry room', 1.0), 7: ('childs room', 1.0), 8: ('bedroom', 1.0), 9: ('corridor', 1.0), 10: ('kitchen', 1.0), 11: ('television room', 1.0), 12: ('storage room', 1.0), 13: ('utility room', 1.0), 14: ('exercise room', 1.0), 15: ('dining room', 1.0), 16: ('home office', 1.0), 17: ('lobby', 1.0)}"
saltshaker,"{1: ('kitchen', 1.0)}"
sanitary pads,"{1: ('home office', 1.0), 2: ('exercise room', 1.0), 3: ('childs room', 1.0), 4: ('closet', 1.0), 5: ('lobby', 1.0), 6: ('dining room', 1.0), 7: ('garage', 1.0), 8: ('pantry room', 1.0), 9: ('playroom', 1.0), 10: ('bedroom', 1.0), 11: ('television room', 1.0), 12: ('storage room', 1.0), 13: ('utility room', 1.0), 14: ('living room', 1.0), 15: ('bathroom', 1.0), 16: ('kitchen', 1.0), 17: ('corridor', 1.0)}"
saucer,"{1: ('kitchen', 1.5), 2: ('pantry room', 1.0), 3: ('living room', 1.0), 4: ('bedroom', 1.0), 5: ('garage', 1.0), 6: ('television room', 1.0), 7: ('utility room', 1.0), 8: ('childs room', 1.0), 9: ('storage room', 1.0), 10: ('closet', 1.0), 11: ('home office', 1.0), 12: ('lobby', 1.0), 13: ('bathroom', 1.0), 14: ('dining room', 1.0), 15: ('playroom', 1.0), 16: ('corridor', 1.0), 17: ('exercise room', 1.0)}"
saute pan,"{1: ('garage', 1.0), 2: ('playroom', 1.0), 3: ('kitchen', 1.0), 4: ('dining room', 1.0), 5: ('childs room', 1.0), 6: ('pantry room', 1.0), 7: ('exercise room', 1.0), 8: ('bathroom', 1.0), 9: ('lobby', 1.0), 10: ('living room', 1.0), 11: ('utility room', 1.0), 12: ('corridor', 1.0), 13: ('bedroom', 1.0), 14: ('television room', 1.0), 15: ('home office', 1.0), 16: ('closet', 1.0), 17: ('storage room', 1.0)}"
scissors,"{1: ('utility room', 1.0), 2: ('pantry room', 1.0), 3: ('kitchen', 1.0), 4: ('bedroom', 1.0), 5: ('childs room', 1.0), 6: ('living room', 1.0), 7: ('closet', 1.0), 8: ('garage', 1.0), 9: ('television room', 1.0), 10: ('corridor', 1.0), 11: ('exercise room', 1.0), 12: ('dining room', 1.0), 13: ('playroom', 1.0), 14: ('storage room', 1.0), 15: ('home office', 1.0), 16: ('bathroom', 1.0), 17: ('lobby', 1.0)}"
scrubbrush,"{1: ('bathroom', 1.0)}"
set-top box,"{1: ('television room', 1.0), 2: ('bedroom', 1.0), 3: ('playroom', 1.0), 4: ('childs room', 1.0), 5: ('dining room', 1.0), 6: ('corridor', 1.0), 7: ('utility room', 1.0), 8: ('lobby', 1.0), 9: ('storage room', 1.0), 10: ('kitchen', 1.0), 11: ('exercise room', 1.0), 12: ('home office', 1.0), 13: ('pantry room', 1.0), 14: ('garage', 1.0), 15: ('living room', 1.0), 16: ('closet', 1.0), 17: ('bathroom', 1.0)}"
shelf,"{1: ('bedroom', 1.5), 2: ('bathroom', 1.5), 3: ('kitchen', 1.0), 4: ('living room', 1.0)}"
shelvingunit,"{1: ('kitchen', 1.0), 2: ('living room', 1.0), 3: ('bedroom', 1.0)}"
shoe,"{1: ('closet', 1.5), 2: ('bathroom', 1.0), 3: ('utility room', 1.0), 4: ('bedroom', 1.0), 5: ('childs room', 1.0), 6: ('corridor', 1.0), 7: ('playroom', 1.0), 8: ('storage room', 1.0), 9: ('lobby', 1.0), 10: ('dining room', 1.0), 11: ('home office', 1.0), 12: ('garage', 1.0), 13: ('pantry room', 1.0), 14: ('kitchen', 1.0), 15: ('exercise room', 1.0), 16: ('living room', 1.0), 17: ('television room', 1.0)}"
shoe box,"{1: ('television room', 1.0), 2: ('home office', 1.0), 3: ('dining room', 1.0), 4: ('exercise room', 1.0), 5: ('bathroom', 1.0), 6: ('storage room', 1.0), 7: ('kitchen', 1.0), 8: ('garage', 1.0), 9: ('lobby', 1.0), 10: ('pantry room', 1.0), 11: ('living room', 1.0), 12: ('corridor', 1.0), 13: ('utility room', 1.0), 14: ('playroom', 1.0), 15: ('closet', 1.0), 16: ('bedroom', 1.0), 17: ('childs room', 1.0)}"
showercurtain,"{1: ('bathroom', 1.0)}"
showerdoor,"{1: ('bathroom', 1.0)}"
showerglass,"{1: ('bathroom', 1.0)}"
showerhead,"{1: ('bathroom', 1.0)}"
shredder,"{1: ('kitchen', 1.0), 2: ('exercise room', 1.0), 3: ('pantry room', 1.0), 4: ('dining room', 1.0), 5: ('bedroom', 1.0), 6: ('storage room', 1.0), 7: ('living room', 1.0), 8: ('home office', 1.0), 9: ('television room', 1.0), 10: ('childs room', 1.0), 11: ('closet', 1.0), 12: ('bathroom', 1.0), 13: ('garage', 1.0), 14: ('playroom', 1.0), 15: ('lobby', 1.0), 16: ('corridor', 1.0), 17: ('utility room', 1.0)}"
sidetable,"{1: ('kitchen', 1.0), 2: ('living room', 1.0), 3: ('bedroom', 1.0), 4: ('bathroom', 1.0)}"
sidewalk chalk,"{1: ('television room', 1.0), 2: ('bathroom', 1.0), 3: ('home office', 1.0), 4: ('storage room', 1.0), 5: ('childs room', 1.0), 6: ('bedroom', 1.0), 7: ('pantry room', 1.0), 8: ('kitchen', 1.0), 9: ('lobby', 1.0), 10: ('exercise room', 1.0), 11: ('garage', 1.0), 12: ('closet', 1.0), 13: ('dining room', 1.0), 14: ('living room', 1.0), 15: ('playroom', 1.0), 16: ('utility room', 1.0), 17: ('corridor', 1.0)}"
sink,"{1: ('kitchen', 1.5), 2: ('bathroom', 1.0)}"
sinkbasin,"{1: ('kitchen', 1.0), 2: ('bathroom', 1.0)}"
skillet,"{1: ('lobby', 1.0), 2: ('home office', 1.0), 3: ('kitchen', 1.0), 4: ('garage', 1.0), 5: ('playroom', 1.0), 6: ('bedroom', 1.0), 7: ('television room', 1.0), 8: ('corridor', 1.0), 9: ('living room', 1.0), 10: ('utility room', 1.0), 11: ('childs room', 1.0), 12: ('exercise room', 1.0), 13: ('dining room', 1.0), 14: ('bathroom', 1.0), 15: ('closet', 1.0), 16: ('pantry room', 1.0), 17: ('storage room', 1.0)}"
skillet lid,"{1: ('television room', 1.0), 2: ('exercise room', 1.0), 3: ('pantry room', 1.0), 4: ('garage', 1.0), 5: ('utility room', 1.0), 6: ('closet', 1.0), 7: ('childs room', 1.0), 8: ('dining room', 1.0), 9: ('bathroom', 1.0), 10: ('living room', 1.0), 11: ('home office', 1.0), 12: ('storage room', 1.0), 13: ('lobby', 1.0), 14: ('bedroom', 1.0), 15: ('playroom', 1.0), 16: ('kitchen', 1.0), 17: ('corridor', 1.0)}"
skin care product,"{1: ('closet', 1.0), 2: ('lobby', 1.0), 3: ('pantry room', 1.0), 4: ('childs room', 1.0), 5: ('exercise room', 1.0), 6: ('corridor', 1.0), 7: ('bathroom', 1.0), 8: ('utility room', 1.0), 9: ('bedroom', 1.0), 10: ('playroom', 1.0), 11: ('storage room', 1.0), 12: ('kitchen', 1.0), 13: ('dining room', 1.0), 14: ('living room', 1.0), 15: ('home office', 1.0), 16: ('television room', 1.0), 17: ('garage', 1.0)}"
skin moisturizer,"{1: ('childs room', 1.0), 2: ('garage', 1.0), 3: ('utility room', 1.0), 4: ('lobby', 1.0), 5: ('bedroom', 1.0), 6: ('pantry room', 1.0), 7: ('closet', 1.0), 8: ('corridor', 1.0), 9: ('bathroom', 1.0), 10: ('home office', 1.0), 11: ('playroom', 1.0), 12: ('kitchen', 1.0), 13: ('television room', 1.0), 14: ('exercise room', 1.0), 15: ('dining room', 1.0), 16: ('living room', 1.0), 17: ('storage room', 1.0)}"
snack cake,"{1: ('utility room', 1.0), 2: ('pantry room', 1.0), 3: ('home office', 1.0), 4: ('bathroom', 1.0), 5: ('garage', 1.0), 6: ('television room', 1.0), 7: ('storage room', 1.0), 8: ('dining room', 1.0), 9: ('corridor', 1.0), 10: ('bedroom', 1.0), 11: ('closet', 1.0), 12: ('kitchen', 1.0), 13: ('living room', 1.0), 14: ('childs room', 1.0), 15: ('exercise room', 1.0), 16: ('playroom', 1.0), 17: ('lobby', 1.0)}"
snack dispenser,"{1: ('bathroom', 1.0), 2: ('playroom', 1.0), 3: ('storage room', 1.0), 4: ('kitchen', 1.0), 5: ('television room', 1.0), 6: ('dining room', 1.0), 7: ('childs room', 1.0), 8: ('corridor', 1.0), 9: ('garage', 1.0), 10: ('living room', 1.0), 11: ('utility room', 1.0), 12: ('bedroom', 1.0), 13: ('home office', 1.0), 14: ('exercise room', 1.0), 15: ('lobby', 1.0), 16: ('pantry room', 1.0), 17: ('closet', 1.0)}"
soap dish,"{1: ('closet', 1.0), 2: ('corridor', 1.0), 3: ('playroom', 1.0), 4: ('storage room', 1.0), 5: ('lobby', 1.0), 6: ('dining room', 1.0), 7: ('bathroom', 1.0), 8: ('garage', 1.0), 9: ('bedroom', 1.0), 10: ('exercise room', 1.0), 11: ('utility room', 1.0), 12: ('pantry room', 1.0), 13: ('childs room', 1.0), 14: ('living room', 1.0), 15: ('kitchen', 1.0), 16: ('television room', 1.0), 17: ('home office', 1.0)}"
soap dispenser,"{1: ('exercise room', 1.0), 2: ('dining room', 1.0), 3: ('storage room', 1.0), 4: ('lobby', 1.0), 5: ('closet', 1.0), 6: ('playroom', 1.0), 7: ('childs room', 1.0), 8: ('television room', 1.0), 9: ('bedroom', 1.0), 10: ('utility room', 1.0), 11: ('living room', 1.0), 12: ('home office', 1.0), 13: ('corridor', 1.0), 14: ('kitchen', 1.0), 15: ('pantry room', 1.0), 16: ('bathroom', 1.0), 17: ('garage', 1.0)}"
soapbar,"{1: ('bathroom', 1.0)}"
soapbottle,"{1: ('kitchen', 1.0), 2: ('bathroom', 1.0)}"
sofa,"{1: ('living room', 1.5), 2: ('bedroom', 1.0)}"
softball,"{1: ('television room', 1.0), 2: ('exercise room', 1.0), 3: ('pantry room', 1.0), 4: ('garage', 1.0), 5: ('utility room', 1.0), 6: ('closet', 1.0), 7: ('childs room', 1.0), 8: ('dining room', 1.0), 9: ('bathroom', 1.0), 10: ('living room', 1.0), 11: ('home office', 1.0), 12: ('storage room', 1.0), 13: ('lobby', 1.0), 14: ('bedroom', 1.0), 15: ('playroom', 1.0), 16: ('kitchen', 1.0), 17: ('corridor', 1.0)}"
software cd,"{1: ('childs room', 1.0), 2: ('bathroom', 1.0), 3: ('living room', 1.0), 4: ('lobby', 1.0), 5: ('kitchen', 1.0), 6: ('corridor', 1.0), 7: ('exercise room', 1.0), 8: ('bedroom', 1.0), 9: ('garage', 1.0), 10: ('pantry room', 1.0), 11: ('television room', 1.0), 12: ('storage room', 1.0), 13: ('home office', 1.0), 14: ('dining room', 1.0), 15: ('playroom', 1.0), 16: ('utility room', 1.0), 17: ('closet', 1.0)}"
sorting toy,"{1: ('childs room', 1.0), 2: ('garage', 1.0), 3: ('utility room', 1.0), 4: ('lobby', 1.0), 5: ('bedroom', 1.0), 6: ('pantry room', 1.0), 7: ('closet', 1.0), 8: ('corridor', 1.0), 9: ('bathroom', 1.0), 10: ('home office', 1.0), 11: ('playroom', 1.0), 12: ('kitchen', 1.0), 13: ('television room', 1.0), 14: ('exercise room', 1.0), 15: ('dining room', 1.0), 16: ('living room', 1.0), 17: ('storage room', 1.0)}"
sparkling water,"{1: ('childs room', 1.0), 2: ('corridor', 1.0), 3: ('lobby', 1.0), 4: ('garage', 1.0), 5: ('dining room', 1.0), 6: ('pantry room', 1.0), 7: ('kitchen', 1.0), 8: ('closet', 1.0), 9: ('utility room', 1.0), 10: ('exercise room', 1.0), 11: ('home office', 1.0), 12: ('living room', 1.0), 13: ('playroom', 1.0), 14: ('television room', 1.0), 15: ('storage room', 1.0), 16: ('bedroom', 1.0), 17: ('bathroom', 1.0)}"
spatula,"{1: ('kitchen', 2.5), 2: ('closet', 1.0), 3: ('playroom', 1.0), 4: ('corridor', 1.0), 5: ('dining room', 1.0), 6: ('television room', 1.0), 7: ('home office', 1.0), 8: ('living room', 1.0), 9: ('bedroom', 1.0), 10: ('pantry room', 1.0), 11: ('utility room', 1.0), 12: ('bathroom', 1.0), 13: ('garage', 1.0), 14: ('storage room', 1.0), 15: ('childs room', 1.0), 16: ('lobby', 1.0), 17: ('exercise room', 1.0)}"
spider,"{1: ('basement', 1.0), 2: ('closet', 1.0), 3: ('cellar', 1.0)}"
